Parent Area,Area,Function,Connected To,X Coordinate,Y Coordinate,Z Coordinate,Num entry
,Spinal Cord,Conduit for nerve signals between the brain and the rest of the body, Brain Stem,6.24,-16.6,0,3
,Midbrain,"Contributes to auditory and visual processing; motor control", Brain Stem; Thalamus; Limbic System,1.06,-1.92,0,3
,Neocortex,"The neocortex; a crucial brain region; orchestrates cognitive functions; motor skills; sensory processing; language; memory; and emotional regulation.",,-3.6,10.12,0,5
,Forebrain, "The forebrain is primarily responsible for higher cognitive functions; including sensory processing; emotional regulation; memory; and complex decision-making.", Midbrain; Brain Stem, -0.03,6.62,0,5
,Brain Stem,"Vital autonomic functions such as breathing; heart rate; and blood pressure", Midbrain; Spinal Cord,2.44,-7.98,0,3
,Basal Ganglia L,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,-1.99,3.63,6.33,2
,Basal Ganglia R,"Motor control; procedural learning; and routine behaviors", Thalamus; Brain Stem; Limbic System,-1.99,3.63,-6.33,1
,Cerebellum,"Coordination of voluntary movements; balance; and posture", Brain Stem; Spinal Cord; Thalamus,7.08,-5.97,0,4
Forebrain,Limbic System,"Regulation of emotions; memory; and arousal", Frontal Lobe; Temporal Lobe; Hypothalamus; Amygdala L; Thalamus,-0.54,2.42,0,3
Neocortex,Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills", Thalamus; Basal Ganglia R; Basal Ganglia L; Limbic System; Parietal Lobe,-9.4,5.5,0,5
Neocortex,Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input", Frontal Lobe; Occipital Lobe; Temporal Lobe L; Temporal Lobe R,3.1,9,0,5
Neocortex,Temporal Lobe L,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,-3.12,-2.86,8.19,2
Neocortex,Temporal Lobe R,"Auditory processing; language comprehension; memory; and emotion", Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System,-3.12,-2.86,-8.19,1
Neocortex,Occipital Lobe,"Visual processing and interpretation", Parietal Lobe; Temporal Lobe L; Temporal Lobe R,14.75,-1.08,0,5
Neocortex,Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions", Limbic System; Frontal Lobe; Parietal Lobe; Thalamus,-6.24,5.36,0,5
Limbic System,Thalamus,"Sensory relay station; relaying signals between different parts of the brain", Frontal Lobe; Occipital Lobe; Temporal Lobe L; Temporal Lobe R; Parietal Lobe; Limbic System,0.97,0.47,0,3
Limbic System,Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system", Thalamus; Limbic System,-2.17,-1.26,0,3
Temporal Lobe L,Amygdala L,"Emotion processing; particularly fear and pleasure responses",Thalamus; Frontal Lobe; Temporal Lobe L; Limbic System,-4.25,-1.49,4.51,2
Temporal Lobe L,Wernicke's Area L,"Language comprehension", Broca's Area L; Temporal Lobe L,8.91,0.8,8.37,2
Frontal lobe,Broca's Area L,"Language production and speech", Wernicke's Area L; Frontal Lobe; Limbic System,-10.3,3.7,7.61,2
Frontal lobe,Broca's Area R,"Language production and speech", Frontal Lobe; Limbic System,-10.3,3.7,-7.61,1
Frontal lobe,Primary Motor Cortex,"Initiating and controlling voluntary movements", Frontal Lobe; Parietal Lobe; Thalamus,-2.5,7.9,0,5
Frontal Lobe,Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior", Frontal Lobe; Parietal Lobe; Limbic System; Thalamus,-10.9,4.4,0,5
