Brain Area,Function,Connected To
Frontal Lobe,"Executive functions; motor skills; reasoning; planning; problem-solving; emotions; and social skills",Thalamus; Basal Ganglia; Limbic System; Parietal Lobe
Parietal Lobe,"Sensation; perception; spatial awareness; and the integration of sensory input",Frontal Lobe; Occipital Lobe; Temporal Lobe
Temporal Lobe,"Auditory processing; language comprehension; memory; and emotion",Frontal Lobe; Parietal Lobe; Occipital Lobe; Limbic System
Occipital Lobe,"Visual processing and interpretation",Parietal Lobe; Temporal Lobe
Cerebellum,"Coordination of voluntary movements; balance; and posture",Brain Stem; Spinal Cord; Thalamus
Brain Stem,"Vital autonomic functions such as breathing; heart rate; and blood pressure",Various Brain Regions; Spinal Cord
Thalamus,"Sensory relay station; relaying signals between different parts of the brain",Almost All Regions of the Cerebral Cortex
Hypothalamus,"Regulates body temperature; hunger; thirst; and various aspects of the autonomic nervous system",Thalamus; Pituitary Gland; Limbic System
Amygdala,"Emotion processing; particularly fear and pleasure responses",Hippocampus; Thalamus; Frontal Lobe
Hippocampus,"Formation of new memories and spatial navigation",Amygdala; Thalamus; Various Cortical Regions
Basal Ganglia,"Motor control; procedural learning; and routine behaviors",Thalamus; Cortex; Brain Stem
Cingulate Cortex,"Emotional and cognitive processing; attention; and autonomic functions",Limbic System; Frontal Lobe; Parietal Lobe
Broca's Area,"Language production and speech",Wernicke's Area; Frontal Lobe
Wernicke's Area,"Language comprehension",Broca's Area; Temporal Lobe
Primary Motor Cortex,"Initiating and controlling voluntary movements",Various Regions of the Brain and Spinal Cord
Primary Somatosensory Cortex,"Processes tactile sensory information; such as touch and pressure",Thalamus; Other Sensory Areas
Prefrontal Cortex,"Higher cognitive functions; decision-making; personality expression; and moderating social behavior",Various Regions of the Cortex; Limbic System
